"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phascolarctobacterium"	"Year"	"Year"	"Year"	-1.20509403361525	0.0228745808547927	0.131650112055523	4.9282255831784e-08	1.3010515539591e-05	9.85645092348272e-08	1.41932893298151e-05	NA	"abundance"	156	155
"Coprococcus"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.910606646249874	0.0376805513832458	0.15120801427031	2.45555895739269e-06	0.000162066891187918	2.45555895739269e-06	0.000118752721854655	NA	"abundance"	156	155
"Parvimonas"	"Year"	"Year"	"Year"	-2.03215637022169	0	0.428225831253343	2.07966266914127e-06	0.000162066891187918	4.15932101328573e-06	0.000149735556478286	NA	"prevalence"	156	74
"Providencia"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	3.05907009419422	0	0.630786068791128	1.23700828441407e-06	0.000162066891187918	2.47401503863864e-06	0.000118752721854655	NA	"prevalence"	156	85
"Methanobrevibacter"	"Year"	"Year"	"Year"	-1.83958893615407	0	0.410099239508931	7.26693050227545e-06	0.000383693930520144	1.4533808196272e-05	0.000418573676052633	NA	"prevalence"	156	46
"[Prevotella]"	"Year"	"Year"	"Year"	-9.07034981139811	0	2.3548827008097	0.000117290883654556	0.00513854475686549	0.000234568010157724	0.00560530330398646	NA	"prevalence"	156	82
"Fusobacterium"	"Year"	"Year"	"Year"	-1.23805674209823	0	0.324533626219276	0.000136249292795676	0.00513854475686549	0.000272480021721564	0.00560530330398646	NA	"prevalence"	156	85
"Aggregatibacter"	"Year"	"Year"	"Year"	-1.28893107890579	0	0.366162253446218	0.00043136932911915	0.0142351878609319	0.000862552578740194	0.0155259464173235	NA	"prevalence"	156	52
"Bifidobacterium"	"Year"	"Year"	"Year"	-1.1550292021575	0	0.335438305377907	0.000574569702029595	0.0168540445928681	0.0011488092737167	0.0183809483794672	NA	"prevalence"	156	99
"Methanobrevibacter"	"Year"	"Year"	"Year"	-1.26218183512561	0.0228745808547927	0.313722649941753	0.00123805555985346	0.0326846667801313	1.4533808196272e-05	0.000418573676052633	NA	"abundance"	156	46
"[Ruminococcus]"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.473760421362809	0.0376805513832458	0.109580786140315	0.00238368295153568	0.0462501321096946	0.00238368295153568	0.0312045768201035	NA	"abundance"	156	155
"Dialister"	"Year"	"Year"	"Year"	0.810957064939537	0.0228745808547927	0.19607838903802	0.00245265852096865	0.0462501321096946	0.00489930150811683	0.0542691859360633	NA	"abundance"	156	153
"Lachnospira"	"Year"	"Year"	"Year"	0.730530155790215	0.0228745808547927	0.153446711761489	0.00198400923061826	0.0462501321096946	0.00396408216860933	0.047568986023312	NA	"abundance"	156	154
