"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phascolarctobacterium;T32"	"Year"	"Year"	"Year"	-1.20052075493605	0.0349093735656781	0.1314391286379	9.27782317639014e-09	2.67201307480036e-06	1.85556462667023e-08	2.89468081760555e-06	NA	"abundance"	156	155
"Prevotella;T09"	"X..SCFA.Acetate"	"X..SCFA.Acetate"	"X..SCFA.Acetate"	-1.25665846963592	0.0913246336273147	0.20911006048855	5.43586549106578e-08	7.82764630713473e-06	1.08717306866452e-07	8.47994993558327e-06	NA	"abundance"	156	149
"Coprococcus;T08"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.929782764416763	0.023266629131833	0.149650740714055	8.23677860584127e-07	7.90730746160762e-05	8.23677860584127e-07	4.28312487503746e-05	NA	"abundance"	156	155
"Providencia;T18"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	3.16908455590363	0	0.6538024876412	1.25242103475513e-06	9.01743145023693e-05	2.50484050095181e-06	9.76887795371207e-05	NA	"prevalence"	156	85
"Parvimonas;T45"	"Year"	"Year"	"Year"	-2.12717304955881	0	0.444114009344258	1.67030509193363e-06	9.62095732953772e-05	3.34060739394816e-06	0.000104226950691183	NA	"prevalence"	156	74
"Methanobrevibacter;T16"	"Year"	"Year"	"Year"	-1.77967508265867	0	0.415974462599184	1.88302630214645e-05	0.000903852625030298	3.76601714641236e-05	0.000979164458067215	NA	"prevalence"	156	46
"Fusobacterium;T30"	"Year"	"Year"	"Year"	-1.26720341330377	0	0.32390233228226	9.14208706169029e-05	0.00376131581966686	0.000182833383458222	0.00407457254564037	NA	"prevalence"	156	85
"[Prevotella];T20"	"Year"	"Year"	"Year"	-9.04856844903679	0	2.35711252815975	0.00012361895826131	0.00445028249740718	0.000247222634875779	0.0048208413800777	NA	"prevalence"	156	82
"Lachnospira;T13"	"Year"	"Year"	"Year"	0.790500093930681	0.0349093735656781	0.147352419422366	0.000422632698228287	0.011828434742337	0.000845086778058962	0.0136607978252449	NA	"abundance"	156	154
"Methanobrevibacter;T16"	"Year"	"Year"	"Year"	-1.35416007452188	0.0349093735656781	0.313740479437103	0.000467361678287093	0.011828434742337	3.76601714641236e-05	0.000979164458067215	NA	"abundance"	156	46
