"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phascolarctobacterium;T32"	"Year"	"Year"	"Year"	-1.18786380107737	0.0463121802699414	0.127222856921089	1.5283201371119e-09	4.40156199488229e-07	3.05664027188804e-09	4.76835882414535e-07	NA	"abundance"	156	155
"Providencia;T18"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	3.22052387096799	0	0.649730138506726	7.1696869812898e-07	0.000103243492530573	1.43393688221385e-06	7.456471787512e-05	NA	"prevalence"	156	85
"Coprococcus;T08"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.938209905560085	0.0433074285061086	0.150196049475029	1.10462291802449e-06	0.000106043800130351	1.10462291802449e-06	7.456471787512e-05	NA	"abundance"	156	155
"Parvimonas;T45"	"Year"	"Year"	"Year"	-1.93199241712295	0	0.417716188396906	3.74360314320369e-06	0.000269539426310666	7.48719227184289e-06	0.000242631652424485	NA	"prevalence"	156	74
"Prevotella;T09"	"Total.SCFA_mg.mL"	"Total.SCFA_mg.mL"	"Total.SCFA_mg.mL"	0.947945665427409	-0.103029057329205	0.212941025303773	7.77665552642581e-06	0.000447935358322127	7.77665552642581e-06	0.000242631652424485	NA	"abundance"	156	149
"Methanobrevibacter;T16"	"Year"	"Year"	"Year"	-1.67106528632537	0	0.386915649532805	1.56780741515186e-05	0.000752547559272894	3.13559025010281e-05	0.000815253465026732	NA	"prevalence"	156	46
"Fusobacterium;T30"	"Year"	"Year"	"Year"	-1.27598308902635	0	0.318975496731257	6.32744634264075e-05	0.00260329220954362	0.000126544923195093	0.0028201440026335	NA	"prevalence"	156	85
"[Prevotella];T20"	"Year"	"Year"	"Year"	-8.92021590043783	0	2.3976312591065	0.000198884968184219	0.00715985885463188	0.000397730381137868	0.00775574243218843	NA	"prevalence"	156	82
"Dialister;T23"	"Year"	"Year"	"Year"	0.844260973711238	0.0463121802699414	0.185685206191919	0.000751302804385734	0.0196704734239174	0.000751302804385734	0.0130225819426861	NA	"abundance"	156	153
"Unclassified Christensenellaceae;T15"	"Total.SCFA_mg.mL"	"Total.SCFA_mg.mL"	"Total.SCFA_mg.mL"	-0.666180557701678	-0.103029057329205	0.14859563716347	0.000725901998646528	0.0196704734239174	0.00145127706358142	0.017415324762977	NA	"abundance"	156	152
