"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phascolarctobacterium;T32"	"Year"	"Year"	"Year"	-1.16112484260213	0.0622998262062333	0.125741483706494	8.46936853982072e-10	2.43917813946837e-07	1.69387370724684e-09	2.64244298330507e-07	NA	"abundance"	156	155
"Prevotella;T09"	"X..SCFA.Butyrate"	"X..SCFA.Butyrate"	"X..SCFA.Butyrate"	1.13886650796014	-0.0450046635973035	0.192130769775771	7.07142420175444e-08	1.01828508505264e-05	7.07142420175444e-08	5.51571087736846e-06	NA	"abundance"	156	149
"Coprococcus;T08"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.939685805103419	0.0170033127045657	0.150739634965748	4.35736597470537e-07	4.18307133571716e-05	4.35736597470537e-07	2.26583030684679e-05	NA	"abundance"	156	155
"Providencia;T18"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	3.20707353438784	0	0.663078305230243	1.32049791658511e-06	9.50758499941276e-05	2.64099408945546e-06	0.000102998769488763	NA	"prevalence"	156	85
"Parvimonas;T45"	"Year"	"Year"	"Year"	-2.02171385370996	0	0.4267137076045	2.15976832295321e-06	0.000124402655402105	4.3195319813072e-06	0.000134769397816785	NA	"prevalence"	156	74
"Methanobrevibacter;T16"	"Year"	"Year"	"Year"	-1.6507276100397	0	0.374897296154068	1.06692207395925e-05	0.000512122595500441	2.13383276469138e-05	0.00055479651881976	NA	"prevalence"	156	46
"Fusobacterium;T30"	"Year"	"Year"	"Year"	-1.33346720883242	0	0.316163719998748	2.46864038526739e-05	0.00101566918708144	4.93721982868126e-05	0.00110029470467754	NA	"prevalence"	156	85
"[Prevotella];T20"	"Year"	"Year"	"Year"	-9.0046233680196	0	2.39138230946794	0.000166251380526345	0.00598504969894841	0.000332475121531163	0.00648326486985768	NA	"prevalence"	156	82
"Aggregatibacter;T50"	"Year"	"Year"	"Year"	-1.40148410729027	0	0.38445035618167	0.000266952510394801	0.00854248033263363	0.000533833757146796	0.00832780661149001	NA	"prevalence"	156	52
"Unclassified Enterobacteriaceae;T03"	"Year"	"Year"	"Year"	-1.14389196966619	0.0622998262062333	0.30717076336406	0.00046536339480685	0.0134024657704373	0.00046536339480685	0.00806629884331874	NA	"abundance"	156	156
"Unclassified S24-7;T27"	"X..SCFA.Butyrate"	"X..SCFA.Butyrate"	"X..SCFA.Butyrate"	0.555186150108675	-0.0450046635973035	0.1555191180355	0.000564840831729252	0.0147885599580022	0.00112936261829332	0.0125843263181255	NA	"abundance"	156	153
"[Ruminococcus];T21"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.487741694018325	0.0170033127045657	0.107557919834962	0.000634222581678445	0.0152213419602827	0.000634222581678445	0.00899442934016704	NA	"abundance"	156	155
"Parabacteroides;T17"	"Year"	"Year"	"Year"	-0.484848458580351	0.0622998262062333	0.0899868971906289	0.000724923198652361	0.0160598370162985	0.00144932088366078	0.0150729371900721	NA	"abundance"	156	154
"Dialister;T23"	"Year"	"Year"	"Year"	0.824370615356516	0.0622998262062333	0.182330035992867	0.000926379578036207	0.0180838005904895	0.000926379578036207	0.011355683424159	NA	"abundance"	156	153
"Lachnospira;T13"	"Year"	"Year"	"Year"	0.707768456378019	0.0622998262062333	0.139233634300352	0.000946306952013254	0.0180838005904895	0.000946306952013254	0.011355683424159	NA	"abundance"	156	154
"Bifidobacterium;T51"	"Year"	"Year"	"Year"	-1.0256546032844	0	0.311823072915807	0.00100465558836053	0.0180838005904895	0.00200830184386983	0.0184291228025702	NA	"prevalence"	156	99
"Methanobrevibacter;T16"	"Year"	"Year"	"Year"	-1.20145500176367	0.0622998262062333	0.323324073964229	0.00126360917796475	0.0214070260737558	2.13383276469138e-05	0.00055479651881976	NA	"abundance"	156	46
"Faecalibacterium;T11"	"X..SCFA.Butyrate"	"X..SCFA.Butyrate"	"X..SCFA.Butyrate"	0.281373682427811	-0.0450046635973035	0.0762769331451621	0.00143653462506088	0.0229845540009741	0.00287100561839276	0.0248820486927373	NA	"abundance"	156	154
